step,total_steps,episode,duration,episode_steps,steps_per_second,episode_reward,mean_reward,mean_action,loss,mae,mean_q,mean_eps
236214,6000000,349,7.536,317,42,3.000,0.009,2.454,0.007583,0.402212,0.490542,0.952789
236925,6000000,350,15.175,711,47,9.000,0.013,2.557,0.007100,0.395804,0.482936,0.952686
237410,6000000,351,10.352,485,47,5.000,0.010,2.421,0.008363,0.396674,0.484358,0.952566
238209,6000000,352,18.656,799,43,10.000,0.013,2.548,0.006377,0.389178,0.477489,0.952438
239202,6000000,353,24.016,993,41,12.000,0.012,2.481,0.006860,0.392233,0.477352,0.952259
239842,6000000,354,16.371,640,39,9.000,0.014,2.531,0.006881,0.393943,0.482006,0.952096
240361,6000000,355,13.178,519,39,9.000,0.017,2.478,0.006588,0.395222,0.482154,0.951980
241043,6000000,356,17.150,682,40,7.000,0.010,2.472,0.008908,0.410973,0.500475,0.951860
241959,6000000,357,23.590,916,39,12.000,0.013,2.520,0.008624,0.410610,0.500627,0.951700
242630,6000000,358,15.573,671,43,10.000,0.015,2.581,0.007367,0.405825,0.495682,0.951541
243290,6000000,359,14.984,660,44,11.000,0.017,2.558,0.009038,0.409235,0.498967,0.951408
244005,6000000,360,15.317,715,47,9.000,0.013,2.526,0.007236,0.407741,0.498347,0.951270
244444,6000000,361,9.266,439,47,3.000,0.007,2.636,0.006308,0.402999,0.491929,0.951155
245069,6000000,362,13.341,625,47,8.000,0.013,2.357,0.007157,0.409430,0.499677,0.951049
245559,6000000,363,9.958,490,49,4.000,0.008,2.590,0.008225,0.427541,0.524625,0.950937
246779,6000000,364,24.379,1220,50,16.000,0.013,2.517,0.008304,0.429508,0.524486,0.950766
247380,6000000,365,12.035,601,50,4.000,0.007,2.552,0.005455,0.422572,0.516348,0.950584
248032,6000000,366,13.414,652,49,6.000,0.009,2.538,0.007339,0.421863,0.516009,0.950459
248760,6000000,367,15.139,728,48,11.000,0.015,2.343,0.007580,0.427357,0.521720,0.950321
249260,6000000,368,10.233,500,49,5.000,0.010,2.430,0.006744,0.427614,0.519762,0.950198
249675,6000000,369,8.606,415,48,4.000,0.010,2.571,0.006317,0.416109,0.507597,0.950107
250392,6000000,370,14.526,717,49,9.000,0.013,2.367,0.008062,0.441612,0.537087,0.949994
250792,6000000,371,8.426,400,47,4.000,0.010,2.500,0.006266,0.444238,0.541586,0.949882
251511,6000000,372,13.549,719,53,7.000,0.010,2.480,0.006681,0.443115,0.540457,0.949770
252222,6000000,373,13.136,711,54,7.000,0.010,2.477,0.007028,0.440606,0.536232,0.949627
