episode,steps,reward
542,369955,6.0
543,371193,17.0
544,371781,9.0
545,372960,18.0
546,373347,6.0
547,373750,6.0
548,374437,12.0
549,375251,17.0
550,375734,7.0
551,376269,6.0
552,376647,7.0
553,377306,10.0
554,377949,12.0
555,378596,14.0
556,379095,6.0
557,379652,5.0
558,380434,17.0
559,381560,17.0
560,382432,18.0
561,383188,11.0
562,383566,5.0
563,384099,8.0
564,384751,8.0
565,385197,7.0
566,385816,10.0
567,386472,8.0
568,387273,12.0
569,387865,12.0
570,388540,15.0
571,389101,7.0
572,389663,7.0
573,390165,8.0
574,390810,9.0
575,391511,11.0
576,391942,6.0
577,392427,7.0
578,392873,7.0
579,393532,12.0
580,394226,14.0
581,394871,9.0
582,395735,19.0
583,396936,16.0
584,397338,5.0
585,397951,9.0
586,399053,21.0
587,399875,14.0
588,400514,10.0
589,401236,12.0
590,402416,27.0
591,403010,9.0
592,404040,25.0
593,405211,21.0
594,406237,21.0
595,407157,14.0
596,407708,10.0
597,408096,6.0
598,408566,9.0
599,409163,11.0
600,409915,18.0
601,410430,5.0
602,410797,7.0
603,411284,7.0
604,411653,6.0
605,412276,9.0
606,412990,13.0
607,413655,12.0
608,414223,11.0
609,414845,7.0
610,415430,9.0
611,416023,10.0
612,416806,12.0
613,417365,1.0
614,418444,17.0
615,419377,20.0
616,419759,6.0
617,420414,10.0
618,421104,11.0
619,421676,8.0
620,422190,7.0
621,422961,12.0
622,423878,20.0
623,424270,8.0
624,424879,11.0
625,425379,6.0
626,426096,12.0
627,427043,20.0
628,427707,9.0
629,428334,14.0
630,429148,14.0
631,429755,6.0
632,430126,7.0
633,430646,7.0
634,430998,4.0
635,431544,11.0
636,432245,12.0
637,432992,12.0
638,433576,9.0
639,434311,11.0
640,434707,8.0
641,435111,6.0
642,435674,6.0
643,436247,10.0
644,436867,9.0
645,437239,6.0
646,437723,11.0
647,438122,7.0
648,439210,22.0
649,439776,10.0
650,440439,11.0
651,440816,5.0
652,441292,4.0
653,441682,6.0
654,442379,12.0
655,443377,22.0
656,443754,8.0
657,444244,11.0
658,444620,7.0
659,445296,12.0
660,445838,11.0
661,446615,9.0
662,447134,9.0
663,448097,24.0
664,448618,7.0
665,449324,12.0
666,450558,23.0
667,451240,11.0
668,452016,11.0
669,452513,9.0
670,453342,14.0
671,453882,8.0
672,455139,19.0
673,455941,12.0
674,456671,11.0
675,457072,7.0
676,458287,24.0
677,458904,8.0
678,459449,6.0
679,460136,12.0
680,460655,10.0
681,461052,6.0
682,461669,10.0
683,462226,10.0
684,462610,8.0
685,463265,12.0
686,463653,6.0
687,464253,7.0
688,465055,12.0
689,465474,9.0
690,466513,18.0
691,467106,11.0
692,467837,14.0
693,468651,12.0
694,469175,8.0
695,469540,7.0
696,470395,15.0
697,470891,5.0
698,471656,14.0
699,472112,9.0
700,472684,9.0
701,474118,30.0
702,474643,10.0
703,475044,5.0
704,476967,37.0
705,477554,9.0
706,478218,12.0
707,479459,16.0
708,479971,10.0
709,480365,5.0
710,481437,19.0
711,482165,11.0
712,482688,10.0
713,483570,17.0
714,484434,14.0
715,484870,8.0
716,485278,4.0
717,486167,10.0
718,486727,8.0
719,487803,20.0
720,488633,13.0
721,489684,20.0
722,490395,11.0
723,491360,19.0
724,492013,12.0
725,492929,21.0
726,493486,8.0
727,494487,20.0
728,494962,9.0
729,495574,10.0
730,496232,12.0
731,496955,11.0
732,497509,8.0
733,498256,12.0
734,498657,6.0
735,499611,24.0
736,499989,8.0
737,500606,7.0
738,501096,7.0
739,501610,5.0
740,502559,18.0
741,502943,6.0
742,503491,5.0
743,504571,21.0
744,505517,16.0
745,506338,12.0
746,507069,11.0
747,507601,6.0
748,508098,9.0
749,508928,14.0
750,509776,15.0
751,510392,9.0
752,511078,13.0
753,511800,11.0
754,512297,12.0
755,512683,5.0
756,513488,12.0
757,513922,4.0
758,514743,13.0
759,515410,10.0
760,516456,19.0
761,517298,13.0
762,517709,8.0
763,518432,12.0
764,518825,5.0
765,519440,10.0
766,519971,9.0
767,520415,7.0
768,521211,13.0
769,521595,5.0
770,522249,11.0
771,523061,13.0
772,523893,16.0
773,524754,16.0
774,525123,8.0
775,526164,23.0
776,527279,17.0
777,528136,15.0
778,529143,15.0
779,529822,15.0
780,530419,17.0
781,531228,17.0
782,532128,20.0
783,532632,7.0
784,533235,9.0
785,534054,12.0
786,534677,10.0
787,535105,8.0
788,535930,13.0
789,536578,12.0
790,537226,9.0
791,537903,9.0
792,538392,8.0
793,538787,3.0
794,540085,17.0
795,541207,24.0
796,542301,14.0
797,542657,7.0
798,543037,5.0
799,544000,17.0
800,545292,28.0
801,545856,9.0
802,546809,20.0
803,547528,11.0
804,548167,11.0
805,549411,23.0
806,550305,15.0
807,550774,11.0
808,551550,12.0
809,552576,20.0
810,553303,12.0
811,554071,16.0
812,554791,13.0
813,555903,24.0
814,556824,18.0
815,557651,14.0
816,558031,6.0
817,558572,10.0
818,559177,7.0
819,559544,6.0
820,560204,11.0
821,560702,9.0
822,561200,7.0
823,561806,11.0
824,562543,11.0
825,563458,15.0
826,564030,8.0
827,565058,20.0
828,566032,16.0
829,566861,13.0
830,567671,12.0
831,568624,17.0
832,569873,17.0
833,570419,9.0
834,571159,15.0
835,571700,9.0
836,572146,6.0
837,573144,19.0
838,573765,10.0
839,574539,12.0
840,575210,12.0
841,576218,26.0
842,577305,20.0
843,578127,15.0
844,578807,14.0
845,579493,15.0
846,579987,5.0
847,581143,22.0
848,582400,12.0
849,583103,14.0
850,583658,9.0
851,584662,22.0
852,585407,11.0
853,586259,18.0
854,586996,13.0
855,587523,9.0
856,588761,23.0
857,589151,8.0
858,589961,14.0
859,591076,22.0
860,591715,10.0
861,592498,13.0
862,593534,23.0
863,594166,11.0
864,594862,15.0
865,595266,5.0
